folio,estab,sexoe,edade,prome,curso,ccon1,ccon2,ccon4,ccon5,cemo1,cemo2,cemo3,cemo4,cemo5,cemo6,ccog1,ccog2,ccog3,ccog4,ccog5,clas1,clas2,clas3,clas4,clas5,clas6,clas7,clas8,clno1,clno2,clno3,clno4,clnv1,clnv2,clnv3,clpa1,clpa2,clpa3
152,1,1,13,6.6,3,5,5,5,1,3,4,3,4,3,3,4,3,4,5,2,4,5,5,5,1,5,5,3,4,4,4,4,5,2,5,4,5,5
153,2,1,14,5.5,4,3,2,4,2,4,2,3,5,3,4,3,2,3,2,2,2,2,3,2,3,2,2,1,5,3,4,5,4,3,4,4,3,4
154,2,0,13,4.8,4,4,1,3,1,3,5,4,3,4,1,5,4,4,2,2,1,3,1,2,2,1,1,1,2,1,4,1,1,1,2,2,1,4
155,1,1,12,5.4,2,5,1,5,3,4,1,3,4,5,5,3,1,1,3,1,5,5,5,5,5,5,5,3,5,3,2,3,5,4,5,4,5,4
156,1,1,12,5.3,2,5,1,5,1,1,2,4,5,4,5,5,5,1,1,5,5,5,3,1,3,5,5,5,1,5,5,5,5,5,5,5,5,5
157,1,1,12,4.8,2,4,3,3,3,4,4,1,3,4,1,2,3,2,3,1,1,1,1,3,3,2,3,1,1,1,1,1,1,1,3,1,1,1
158,1,1,13,6.6,4,4,2,4,1,4,4,3,3,3,3,5,3,3,5,3,2,1,3,4,3,2,3,1,2,3,3,2,3,3,3,3,4,3
159,1,0,13,5.1,4,3,2,3,2,3,3,3,3,3,3,3,2,1,1,1,5,5,5,5,5,3,5,5,4,4,3,3,5,3,3,4,3,3
160,2,0,12,6,3,5,2,5,1,4,3,4,4,5,3,2,1,3,3,4,4,3,4,4,4,3,3,2,4,3,5,5,3,4,5,4,1,4
161,1,1,12,6.4,2,5,1,4,1,4,3,4,3,4,4,3,4,3,5,4,4,4,4,5,3,4,4,4,4,5,4,1,3,5,5,5,4,4
162,2,0,14,4.7,4,4,2,5,1,3,5,3,1,3,1,3,1,2,3,1,3,5,5,4,5,4,4,5,4,5,3,3,5,5,3,4,2,3
163,2,0,14,5.2,4,4,2,5,1,3,5,3,4,4,3,4,3,2,5,3,4,3,3,4,4,3,4,3,4,4,5,4,4,4,3,4,3,4
164,2,0,10,5.9,1,4,2,5,1,4,4,3,3,3,4,2,1,3,4,1,5,4,5,5,4,3,5,2,4,4,5,4,5,5,5,4,4,4
165,1,0,12,5.3,2,3,3,2,4,3,3,3,4,5,5,3,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
166,1,0,12,4.9,1,3,3,3,3,2,3,2,2,3,3,2,2,2,2,2,3,4,4,4,3,1,3,4,3,4,3,5,3,1,3,2,3,4
167,2,0,13,5.1,3,3,3,5,1,4,1,2,2,1,4,1,1,2,2,1,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5
168,2,1,12,6.1,2,4,1,5,3,2,3,3,3,3,3,1,2,1,2,1,3,5,5,3,4,3,5,3,3,4,4,5,5,4,5,3,5,5
169,2,1,10,5.8,1,3,1,5,1,1,5,1,1,2,1,1,2,1,5,1,3,4,2,5,3,1,3,1,1,1,3,5,2,3,2,5,3,4
170,2,0,13,5.4,3,3,3,4,3,5,5,3,1,3,4,2,4,4,5,4,2,4,5,4,2,1,5,1,3,1,5,5,2,3,4,5,4,3
171,1,0,12,5.4,3,5,3,5,2,4,3,4,4,4,3,3,3,3,3,1,4,4,4,4,4,5,5,5,4,4,4,4,5,4,5,4,4,4
172,1,0,12,6.3,2,4,1,4,2,3,4,3,3,3,4,2,2,1,4,2,5,4,4,5,4,3,4,4,3,4,5,4,5,4,4,3,3,3
173,2,0,10,5.7,1,1,1,5,2,1,1,4,3,3,3,2,1,1,1,1,5,3,3,3,3,2,5,1,3,5,4,5,5,3,1,3,1,1
174,1,0,12,5.2,2,4,2,3,1,2,4,2,2,3,4,1,2,1,2,1,5,3,5,2,1,2,3,1,3,2,3,2,4,5,1,1,3,3
175,2,0,14,5,4,4,3,4,2,5,3,3,4,3,3,3,3,4,2,2,3,3,3,5,2,4,4,2,4,4,4,4,4,5,5,4,3,3
176,2,1,12,,3,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,3,3,4,3,4,4,4,4,4,3,4
177,1,1,12,5.5,2,3,1,3,2,3,5,3,3,4,5,1,2,1,1,2,2,3,5,5,3,4,3,1,5,3,4,5,3,3,3,2,1,4
178,2,0,11,6.2,2,5,1,4,2,5,3,3,4,4,5,1,1,3,4,1,4,4,5,5,3,5,5,4,3,4,5,5,4,5,3,5,5,4
179,1,1,13,5.9,4,5,3,3,1,3,4,5,5,4,5,1,1,1,5,1,5,5,5,5,5,5,5,5,4,5,1,5,5,5,3,5,5,5
180,2,0,13,,3,3,1,5,1,5,3,3,4,2,5,1,3,1,4,1,1,3,5,4,5,4,5,4,4,4,3,4,4,4,3,4,1,4
181,2,0,11,5.8,1,4,2,5,1,3,3,4,4,5,5,1,3,3,1,1,3,3,5,2,3,3,3,3,5,5,5,5,5,4,1,4,2,5
